
16/3/2026, 11:10:19 am | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773639619642-45e4343e1a4058.mjs | MAC:d8:c0:a6:41:84:7d | IP:192.168.1.10 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
16/3/2026, 11:10:19 am | FILE DELETED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773639619642-45e4343e1a4058.mjs | MAC:d8:c0:a6:41:84:7d | IP:192.168.1.10 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
16/3/2026, 8:01:25 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773671485800-ac2375b08bfad.mjs | MAC:d8:c0:a6:41:84:7d | IP:10.30.8.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
16/3/2026, 8:01:26 pm | FILE DELETED | File Path:D:\FSD Project\firstReactApp\node_modules\.vite-temp\vite.config.js.timestamp-1773671485800-ac2375b08bfad.mjs | MAC:d8:c0:a6:41:84:7d | IP:10.30.8.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\classnames | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\jquery | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\json2mq | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\lodash.debounce | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\react-slick | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\resize-observer-polyfill | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
